city,stateAbb,year,department,expensecat,subdep,expensedescrip,personneltype,group,total
Arlington,TX,2020,Police Department,Contractual Services,Special Events,IT Maintenance,All staff,Group 4,700
Arlington,TX,2020,Police Department,Contractual Services,Special Events,Maintenance of Equipment,All staff,Group 4,2200
Arlington,TX,2020,Police Department,Contractual Services,Special Investigations,IT Maintenance,All staff,Group 4,25086
Arlington,TX,2020,Police Department,Contractual Services,Special Investigations,Other Services,All staff,Group 4,103740
Arlington,TX,2020,Police Department,Contractual Services,Special Operations,Maintenance of Equipment,All staff,Group 4,3000
Arlington,TX,2020,Police Department,Contractual Services,Special Operations,Other Services,All staff,Group 4,15000
Arlington,TX,2020,Police Department,Contractual Services,Technical Services,IT Maintenance,All staff,Group 4,2413
Arlington,TX,2020,Police Department,Contractual Services,Technical Services,Maintenance of Equipment,All staff,Group 4,999
Arlington,TX,2020,Police Department,Contractual Services,Technical Services,Other Services,All staff,Group 4,535699
Arlington,TX,2020,Police Department,Contractual Services,Traffic,IT Maintenance,All staff,Group 4,5831
Arlington,TX,2020,Police Department,Contractual Services,Traffic,Maintenance of Equipment,All staff,Group 4,5342
Arlington,TX,2020,Police Department,Contractual Services,Traffic,Other Services,All staff,Group 4,60000
Arlington,TX,2020,Police Department,Contractual Services,West Division Ops,Maintenance of Equipment,All staff,Group 4,200
Arlington,TX,2020,Police Department,Equipment,Administration,Office Supplies,All staff,Group 4,3171
Arlington,TX,2020,Police Department,Equipment,Administration,Other,All staff,Group 4,2000
Arlington,TX,2020,Police Department,Equipment,Administration,Other Supplies,All staff,Group 4,930
Arlington,TX,2020,Police Department,Equipment,Community Relations,Office Supplies,All staff,Group 4,1150
Arlington,TX,2020,Police Department,Equipment,Community Relations,Other,All staff,Group 4,167
Arlington,TX,2020,Police Department,Equipment,Community Relations,Uniforms,All staff,Group 4,300
Arlington,TX,2020,Police Department,Equipment,Covert,Office Supplies,All staff,Group 4,1650
Arlington,TX,2020,Police Department,Equipment,Covert,Other,All staff,Group 4,258
Arlington,TX,2020,Police Department,Equipment,Covert,Other Supplies,All staff,Group 4,1704
Arlington,TX,2020,Police Department,Equipment,Crime Victim Services,Office Supplies,All staff,Group 4,500
Arlington,TX,2020,Police Department,Equipment,Crime Victim Services,Other,All staff,Group 4,166
Arlington,TX,2020,Police Department,Equipment,Crime Victim Services,Uniforms,All staff,Group 4,1000
Arlington,TX,2020,Police Department,Equipment,East Division Ops,Office Supplies,All staff,Group 4,4629
Arlington,TX,2020,Police Department,Equipment,East Division Ops,Other,All staff,Group 4,2341
Arlington,TX,2020,Police Department,Equipment,East Division Ops,Other Supplies,All staff,Group 4,1254
Arlington,TX,2020,Police Department,Equipment,East Division Ops,Traffic Control Supplies,All staff,Group 4,3977
Arlington,TX,2020,Police Department,Equipment,Fiscal Services,Office Supplies,All staff,Group 4,2500
Arlington,TX,2020,Police Department,Equipment,Fiscal Services,Other,All staff,Group 4,2000
Arlington,TX,2020,Police Department,Equipment,Fiscal Services,Other Supplies,All staff,Group 4,930
Arlington,TX,2020,Police Department,Equipment,Fiscal Services,Uniforms,All staff,Group 4,3223
Arlington,TX,2020,Police Department,Equipment,Human Resources,Office Supplies,All staff,Group 4,5785
Arlington,TX,2020,Police Department,Equipment,Human Resources,Other,All staff,Group 4,284416.53
Arlington,TX,2020,Police Department,Equipment,Human Resources,Other Supplies,All staff,Group 4,244168
Arlington,TX,2020,Police Department,Equipment,Human Resources,Uniforms,All staff,Group 4,3741
Arlington,TX,2020,Police Department,Equipment,Investigations,Office Supplies,All staff,Group 4,2311
Arlington,TX,2020,Police Department,Equipment,Investigations,Other,All staff,Group 4,687
Arlington,TX,2020,Police Department,Equipment,Investigations,Other Supplies,All staff,Group 4,2385
Arlington,TX,2020,Police Department,Equipment,Investigations,Uniforms,All staff,Group 4,4542
Arlington,TX,2020,Police Department,Equipment,Jail,Office Supplies,All staff,Group 4,9839
Arlington,TX,2020,Police Department,Equipment,Jail,Other Supplies,All staff,Group 4,9000
Arlington,TX,2020,Police Department,Equipment,North Division Operations,Office Supplies,All staff,Group 4,4004
Arlington,TX,2020,Police Department,Equipment,North Division Operations,Other,All staff,Group 4,5340
Arlington,TX,2020,Police Department,Equipment,North Division Operations,Other Supplies,All staff,Group 4,3759
Arlington,TX,2020,Police Department,Equipment,North Division Operations,Traffic Control Supplies,All staff,Group 4,5267
Arlington,TX,2020,Police Department,Equipment,Quartermaster,Minor Tools,All staff,Group 4,520
Arlington,TX,2020,Police Department,Equipment,Quartermaster,Other,All staff,Group 4,277046.8
Arlington,TX,2020,Police Department,Equipment,Quartermaster,Other Supplies,All staff,Group 4,69751.8
Arlington,TX,2020,Police Department,Equipment,Quartermaster,Uniforms,All staff,Group 4,376754.24
Arlington,TX,2020,Police Department,Equipment,Records,Office Supplies,All staff,Group 4,4733
Arlington,TX,2020,Police Department,Equipment,Records,Other,All staff,Group 4,2000
Arlington,TX,2020,Police Department,Equipment,Records,Other Supplies,All staff,Group 4,7500
Arlington,TX,2020,Police Department,Equipment,Research & Development,Office Supplies,All staff,Group 4,1500
Arlington,TX,2020,Police Department,Equipment,Research & Development,Other,All staff,Group 4,2000
Arlington,TX,2020,Police Department,Equipment,Research & Development,Other Supplies,All staff,Group 4,930
Arlington,TX,2020,Police Department,Equipment,South Division Ops,Office Supplies,All staff,Group 4,4628
Arlington,TX,2020,Police Department,Equipment,South Division Ops,Other,All staff,Group 4,2341
Arlington,TX,2020,Police Department,Equipment,South Division Ops,Other Supplies,All staff,Group 4,3758
Arlington,TX,2020,Police Department,Equipment,South Division Ops,Traffic Control Supplies,All staff,Group 4,3976
Arlington,TX,2020,Police Department,Equipment,Special Events,Minor Tools,All staff,Group 4,100
Arlington,TX,2020,Police Department,Equipment,Special Events,Office Supplies,All staff,Group 4,400
Arlington,TX,2020,Police Department,Equipment,Special Events,Other,All staff,Group 4,3187
Arlington,TX,2020,Police Department,Equipment,Special Events,Other Supplies,All staff,Group 4,1215
Arlington,TX,2020,Police Department,Equipment,Special Events,Uniforms,All staff,Group 4,500
Arlington,TX,2020,Police Department,Equipment,Special Investigations,Office Supplies,All staff,Group 4,2214
Arlington,TX,2020,Police Department,Equipment,Special Investigations,Other,All staff,Group 4,500
Arlington,TX,2020,Police Department,Equipment,Special Investigations,Other Supplies,All staff,Group 4,2303
Arlington,TX,2020,Police Department,Equipment,Special Operations,Office Supplies,All staff,Group 4,1600
Arlington,TX,2020,Police Department,Equipment,Special Operations,Other,All staff,Group 4,30015
Arlington,TX,2020,Police Department,Equipment,Special Operations,Other Supplies,All staff,Group 4,6000
Arlington,TX,2020,Police Department,Equipment,Special Operations,Uniforms,All staff,Group 4,11946
Arlington,TX,2020,Police Department,Equipment,Technical Services,Office Supplies,All staff,Group 4,4500
Arlington,TX,2020,Police Department,Equipment,Technical Services,Other Supplies,All staff,Group 4,21095
Arlington,TX,2020,Police Department,Equipment,Technical Services,Uniforms,All staff,Group 4,3120
Arlington,TX,2020,Police Department,Equipment,Traffic,Minor Tools,All staff,Group 4,100
Arlington,TX,2020,Police Department,Equipment,Traffic,Office Supplies,All staff,Group 4,1201
Arlington,TX,2020,Police Department,Equipment,Traffic,Other,All staff,Group 4,12000
Arlington,TX,2020,Police Department,Equipment,Traffic,Other Supplies,All staff,Group 4,25100
Arlington,TX,2020,Police Department,Equipment,Traffic,Uniforms,All staff,Group 4,10900
Arlington,TX,2020,Police Department,Equipment,West Division Ops,Office Supplies,All staff,Group 4,4628
Arlington,TX,2020,Police Department,Equipment,West Division Ops,Other,All staff,Group 4,2341
Arlington,TX,2020,Police Department,Equipment,West Division Ops,Other Supplies,All staff,Group 4,3758
Arlington,TX,2020,Police Department,Equipment,West Division Ops,Traffic Control Supplies,All staff,Group 4,3977
Arlington,TX,2020,Police Department,Equipment,Youth Support,Office Supplies,All staff,Group 4,150
Arlington,TX,2020,Police Department,Non-equipment Expense,Administration,Dues & Memberships,All staff,Group 4,7968
Arlington,TX,2020,Police Department,Non-equipment Expense,Administration,Travel,All staff,Group 4,6627
Arlington,TX,2020,Police Department,Non-equipment Expense,Community Relations,Education and Recreation,All staff,Group 4,600
Arlington,TX,2020,Police Department,Non-equipment Expense,Crime Victim Services,Education and Recreation,All staff,Group 4,400
Arlington,TX,2020,Police Department,Non-equipment Expense,Fiscal Services,Utilities,All staff,Group 4,339566
Arlington,TX,2020,Police Department,Non-equipment Expense,Human Resources,Dues & Memberships,All staff,Group 4,1900
Arlington,TX,2020,Police Department,Non-equipment Expense,Human Resources,Education and Recreation,All staff,Group 4,3121
Arlington,TX,2020,Police Department,Non-equipment Expense,Human Resources,Travel,All staff,Group 4,158145
Arlington,TX,2020,Police Department,Non-equipment Expense,Investigations,Dues & Memberships,All staff,Group 4,400
Arlington,TX,2020,Police Department,Non-equipment Expense,Investigations,Travel,All staff,Group 4,1432
Arlington,TX,2020,Police Department,Non-equipment Expense,North Division Operations,Dues & Memberships,All staff,Group 4,715
Arlington,TX,2020,Police Department,Non-equipment Expense,Special Events,Travel,All staff,Group 4,3141
Arlington,TX,2020,Police Department,Non-equipment Expense,Special Investigations,Travel,All staff,Group 4,6431
Arlington,TX,2020,Police Department,Non-equipment Expense,Special Operations,Dues & Memberships,All staff,Group 4,300
Arlington,TX,2020,Police Department,Non-equipment Expense,Special Operations,Travel,All staff,Group 4,9440
Arlington,TX,2020,Police Department,Non-equipment Expense,Traffic,Dues & Memberships,All staff,Group 4,1020
Arlington,TX,2020,Police Department,Non-equipment Expense,Traffic,Travel,All staff,Group 4,10000
Arlington,TX,2020,Police Department,Operations,Administration,Dispatch Service Charges,All staff,Group 4,6178348
Arlington,TX,2020,Police Department,Operations,Administration,Fleet Rentals,All staff,Group 4,24056
Arlington,TX,2020,Police Department,Operations,Administration,Food,All staff,Group 4,1510
Arlington,TX,2020,Police Department,Operations,Administration,Gasoline/Lubricants,All staff,Group 4,168448
Arlington,TX,2020,Police Department,Operations,Body Worn Camera Operations,Rentals,All staff,Group 4,525000
Arlington,TX,2020,Police Department,Operations,Community Relations,Fleet Rentals,All staff,Group 4,19512
Arlington,TX,2020,Police Department,Operations,Community Relations,Food,All staff,Group 4,647
Arlington,TX,2020,Police Department,Operations,Community Relations,Gasoline/Lubricants,All staff,Group 4,1874
Arlington,TX,2020,Police Department,Operations,Covert,Gasoline/Lubricants,All staff,Group 4,29496
Arlington,TX,2020,Police Department,Operations,Covert,Phones,All staff,Group 4,21720
Arlington,TX,2020,Police Department,Operations,Covert,Rentals,All staff,Group 4,136911
Arlington,TX,2020,Police Department,Operations,Crime Victim Services,Fleet Rentals,All staff,Group 4,6148
Arlington,TX,2020,Police Department,Operations,Crime Victim Services,Gasoline/Lubricants,All staff,Group 4,1394
Arlington,TX,2020,Police Department,Operations,East Division Ops,Facility ,All staff,Group 4,694
Arlington,TX,2020,Police Department,Operations,East Division Ops,Fleet Rentals,All staff,Group 4,277711
Arlington,TX,2020,Police Department,Operations,East Division Ops,Food,All staff,Group 4,390
Arlington,TX,2020,Police Department,Operations,East Division Ops,Gasoline/Lubricants,All staff,Group 4,45470
Arlington,TX,2020,Police Department,Operations,Fiscal Services,Facility ,All staff,Group 4,3081
Arlington,TX,2020,Police Department,Operations,Fiscal Services,Fleet Rentals,All staff,Group 4,50785
Arlington,TX,2020,Police Department,Operations,Fiscal Services,Gasoline/Lubricants,All staff,Group 4,18677
Arlington,TX,2020,Police Department,Operations,Fiscal Services,Phones,All staff,Group 4,153278
Arlington,TX,2020,Police Department,Operations,Human Resources,Advertising,All staff,Group 4,3000
Arlington,TX,2020,Police Department,Operations,Human Resources,Facility ,All staff,Group 4,520
Arlington,TX,2020,Police Department,Operations,Human Resources,Fleet Rentals,All staff,Group 4,5346
Arlington,TX,2020,Police Department,Operations,Human Resources,Gasoline/Lubricants,All staff,Group 4,348
Arlington,TX,2020,Police Department,Operations,Investigations,Fleet Rentals,All staff,Group 4,43835
Arlington,TX,2020,Police Department,Operations,Investigations,Gasoline/Lubricants,All staff,Group 4,8263
Arlington,TX,2020,Police Department,Operations,Jail,Facility ,All staff,Group 4,50000
Arlington,TX,2020,Police Department,Operations,Jail,Fleet Rentals,All staff,Group 4,36351
Arlington,TX,2020,Police Department,Operations,Jail,Gasoline/Lubricants,All staff,Group 4,9154
Arlington,TX,2020,Police Department,Operations,Jail,Support Of Prisoners,All staff,Group 4,167606
Arlington,TX,2020,Police Department,Operations,North Division Operations,Fleet Rentals,All staff,Group 4,279850
Arlington,TX,2020,Police Department,Operations,North Division Operations,Food,All staff,Group 4,100
Arlington,TX,2020,Police Department,Operations,North Division Operations,Gasoline/Lubricants,All staff,Group 4,141519
Arlington,TX,2020,Police Department,Operations,Quartermaster,Fleet Rentals,All staff,Group 4,2673
Arlington,TX,2020,Police Department,Operations,Quartermaster,Gasoline/Lubricants,All staff,Group 4,479
Arlington,TX,2020,Police Department,Operations,Research & Development,Rentals,All staff,Group 4,293000
Arlington,TX,2020,Police Department,Operations,South Division Ops,Facility ,All staff,Group 4,693
Arlington,TX,2020,Police Department,Operations,South Division Ops,Fleet Rentals,All staff,Group 4,268356
Arlington,TX,2020,Police Department,Operations,South Division Ops,Food,All staff,Group 4,390
Arlington,TX,2020,Police Department,Operations,South Division Ops,Gasoline/Lubricants,All staff,Group 4,137425
Arlington,TX,2020,Police Department,Operations,Special Events,Fleet Rentals,All staff,Group 4,21918
Arlington,TX,2020,Police Department,Operations,Special Events,Food,All staff,Group 4,3500
Arlington,TX,2020,Police Department,Operations,Special Events,Gasoline/Lubricants,All staff,Group 4,1251
Arlington,TX,2020,Police Department,Operations,Special Investigations,Fleet Rentals,All staff,Group 4,2673
Arlington,TX,2020,Police Department,Operations,Special Investigations,Gasoline/Lubricants,All staff,Group 4,654
Arlington,TX,2020,Police Department,Operations,Special Operations,Fleet Rentals,All staff,Group 4,171866
Arlington,TX,2020,Police Department,Operations,Special Operations,Gasoline/Lubricants,All staff,Group 4,30111
Arlington,TX,2020,Police Department,Operations,Technical Services,Fleet Rentals,All staff,Group 4,16839
Arlington,TX,2020,Police Department,Operations,Technical Services,Gasoline/Lubricants,All staff,Group 4,2400
Arlington,TX,2020,Police Department,Operations,Traffic,Fleet Rentals,All staff,Group 4,112261
Arlington,TX,2020,Police Department,Operations,Traffic,Food,All staff,Group 4,1000
Arlington,TX,2020,Police Department,Operations,Traffic,Gasoline/Lubricants,All staff,Group 4,44685
Arlington,TX,2020,Police Department,Operations,Traffic,Rentals,All staff,Group 4,130939
Arlington,TX,2020,Police Department,Operations,West Division Ops,Facility ,All staff,Group 4,693
Arlington,TX,2020,Police Department,Operations,West Division Ops,Fleet Rentals,All staff,Group 4,284126
Arlington,TX,2020,Police Department,Operations,West Division Ops,Food,All staff,Group 4,390
Arlington,TX,2020,Police Department,Operations,West Division Ops,Gasoline/Lubricants,All staff,Group 4,69468
Arlington,TX,2020,Police Department,Operations,Youth Support,Fleet Rentals,All staff,Group 4,2673
Arlington,TX,2020,Police Department,Operations,Youth Support,Gasoline/Lubricants,All staff,Group 4,522
Arlington,TX,2020,Police Department,Personnel Services,Administration,Benefits,All staff,Group 4,607919.68
Arlington,TX,2020,Police Department,Personnel Services,Administration,Salaries,All staff,Group 4,1739105.16
Arlington,TX,2020,Police Department,Personnel Services,Body Worn Camera Operations,Benefits,All staff,Group 4,53992
Arlington,TX,2020,Police Department,Personnel Services,Body Worn Camera Operations,Salaries,All staff,Group 4,133029.47
Arlington,TX,2020,Police Department,Personnel Services,Community Relations,Benefits,All staff,Group 4,261637
Arlington,TX,2020,Police Department,Personnel Services,Community Relations,Overtime,All staff,Group 4,2000
Arlington,TX,2020,Police Department,Personnel Services,Community Relations,Salaries,All staff,Group 4,717571.08
Arlington,TX,2020,Police Department,Personnel Services,Covert,Benefits,All staff,Group 4,660742.87
Arlington,TX,2020,Police Department,Personnel Services,Covert,Overtime,All staff,Group 4,24075
Arlington,TX,2020,Police Department,Personnel Services,Covert,Salaries,All staff,Group 4,1923027.2
Arlington,TX,2020,Police Department,Personnel Services,Crime Victim Services,Benefits,All staff,Group 4,130339.23
Arlington,TX,2020,Police Department,Personnel Services,Crime Victim Services,Salaries,All staff,Group 4,439600.77
Arlington,TX,2020,Police Department,Personnel Services,East Division Ops,Benefits,All staff,Group 4,2949708.91
Arlington,TX,2020,Police Department,Personnel Services,East Division Ops,Overtime,All staff,Group 4,149400
Arlington,TX,2020,Police Department,Personnel Services,East Division Ops,Salaries,All staff,Group 4,8697542.11
Arlington,TX,2020,Police Department,Personnel Services,Fiscal Services,Benefits,All staff,Group 4,237937.67
Arlington,TX,2020,Police Department,Personnel Services,Fiscal Services,Overtime,All staff,Group 4,2500
Arlington,TX,2020,Police Department,Personnel Services,Fiscal Services,Salaries,All staff,Group 4,570183.48
Arlington,TX,2020,Police Department,Personnel Services,Fiscal Services,Wages,All staff,Group 4,16500
Arlington,TX,2020,Police Department,Personnel Services,Human Resources,Benefits,All staff,Group 4,673628.42
Arlington,TX,2020,Police Department,Personnel Services,Human Resources,Overtime,All staff,Group 4,4700
Arlington,TX,2020,Police Department,Personnel Services,Human Resources,Salaries,All staff,Group 4,1916258.31
Arlington,TX,2020,Police Department,Personnel Services,Human Resources,Wages,All staff,Group 4,61475
Arlington,TX,2020,Police Department,Personnel Services,Investigations,Benefits,All staff,Group 4,1039536.53
Arlington,TX,2020,Police Department,Personnel Services,Investigations,Overtime,All staff,Group 4,33705
Arlington,TX,2020,Police Department,Personnel Services,Investigations,Salaries,All staff,Group 4,3038985.36
Arlington,TX,2020,Police Department,Personnel Services,Investigations,Wages,All staff,Group 4,29324
Arlington,TX,2020,Police Department,Personnel Services,Jail,Benefits,All staff,Group 4,1557080.94
Arlington,TX,2020,Police Department,Personnel Services,Jail,Overtime,All staff,Group 4,59505
Arlington,TX,2020,Police Department,Personnel Services,Jail,Salaries,All staff,Group 4,3747704.56
Arlington,TX,2020,Police Department,Personnel Services,Jail,Wages,All staff,Group 4,99298
Arlington,TX,2020,Police Department,Personnel Services,North Division Operations,Benefits,All staff,Group 4,3633013.41
Arlington,TX,2020,Police Department,Personnel Services,North Division Operations,Overtime,All staff,Group 4,149400
Arlington,TX,2020,Police Department,Personnel Services,North Division Operations,Salaries,All staff,Group 4,10738379.05
Arlington,TX,2020,Police Department,Personnel Services,North Division Operations,Wages,All staff,Group 4,370699
Arlington,TX,2020,Police Department,Personnel Services,Quartermaster,Benefits,All staff,Group 4,13804
Arlington,TX,2020,Police Department,Personnel Services,Quartermaster,Overtime,All staff,Group 4,75000
Arlington,TX,2020,Police Department,Personnel Services,Quartermaster,Salaries,All staff,Group 4,718603
Arlington,TX,2020,Police Department,Personnel Services,Records,Benefits,All staff,Group 4,657312.59
Arlington,TX,2020,Police Department,Personnel Services,Records,Overtime,All staff,Group 4,38541
Arlington,TX,2020,Police Department,Personnel Services,Records,Salaries,All staff,Group 4,1425876.9
Arlington,TX,2020,Police Department,Personnel Services,Records,Wages,All staff,Group 4,149823
Arlington,TX,2020,Police Department,Personnel Services,Research & Development,Benefits,All staff,Group 4,181419.1
Arlington,TX,2020,Police Department,Personnel Services,Research & Development,Salaries,All staff,Group 4,584448.9
Arlington,TX,2020,Police Department,Personnel Services,South Division Ops,Benefits,All staff,Group 4,3257598.31
Arlington,TX,2020,Police Department,Personnel Services,South Division Ops,Overtime,All staff,Group 4,149400
Arlington,TX,2020,Police Department,Personnel Services,South Division Ops,Salaries,All staff,Group 4,9674050.26
Arlington,TX,2020,Police Department,Personnel Services,Special Events,Benefits,All staff,Group 4,211708.85
Arlington,TX,2020,Police Department,Personnel Services,Special Events,Overtime,All staff,Group 4,3000
Arlington,TX,2020,Police Department,Personnel Services,Special Events,Salaries,All staff,Group 4,581672.36
Arlington,TX,2020,Police Department,Personnel Services,Special Events,Wages,All staff,Group 4,35400
Arlington,TX,2020,Police Department,Personnel Services,Special Investigations,Benefits,All staff,Group 4,1265610.1
Arlington,TX,2020,Police Department,Personnel Services,Special Investigations,Overtime,All staff,Group 4,38520
Arlington,TX,2020,Police Department,Personnel Services,Special Investigations,Salaries,All staff,Group 4,3568542.01
Arlington,TX,2020,Police Department,Personnel Services,Special Investigations,Wages,All staff,Group 4,38325
Arlington,TX,2020,Police Department,Personnel Services,Special Operations,Benefits,All staff,Group 4,637943.74
Arlington,TX,2020,Police Department,Personnel Services,Special Operations,Overtime,All staff,Group 4,43233
Arlington,TX,2020,Police Department,Personnel Services,Special Operations,Salaries,All staff,Group 4,1843947.64
Arlington,TX,2020,Police Department,Personnel Services,Technical Services,Benefits,All staff,Group 4,844330.61
Arlington,TX,2020,Police Department,Personnel Services,Technical Services,Overtime,All staff,Group 4,31500
Arlington,TX,2020,Police Department,Personnel Services,Technical Services,Salaries,All staff,Group 4,2355948.52
Arlington,TX,2020,Police Department,Personnel Services,Traffic,Benefits,All staff,Group 4,1652653.98
Arlington,TX,2020,Police Department,Personnel Services,Traffic,Overtime,All staff,Group 4,50000
Arlington,TX,2020,Police Department,Personnel Services,Traffic,Salaries,All staff,Group 4,4686362.29
Arlington,TX,2020,Police Department,Personnel Services,Traffic,Wages,All staff,Group 4,37980
Arlington,TX,2020,Police Department,Personnel Services,West Division Ops,Benefits,All staff,Group 4,3164838.82
Arlington,TX,2020,Police Department,Personnel Services,West Division Ops,Overtime,All staff,Group 4,149400
Arlington,TX,2020,Police Department,Personnel Services,West Division Ops,Salaries,All staff,Group 4,9272628.15
Arlington,TX,2020,Police Department,Personnel Services,Youth Support,Benefits,All staff,Group 4,853776.26
Arlington,TX,2020,Police Department,Personnel Services,Youth Support,Overtime,All staff,Group 4,117148
Arlington,TX,2020,Police Department,Personnel Services,Youth Support,Salaries,All staff,Group 4,2422836.12
Atlanta,GA,2020,Police Department,Capital Projects,All Sub-departments,All expense items,All staff,Group 5,246370
Atlanta,GA,2020,Police Department,Contractual Services,All Sub-departments,All expense items,All staff,Group 5,16080480
Atlanta,GA,2020,Police Department,Equipment,All Sub-departments,All expense items,All staff,Group 5,4395658
Atlanta,GA,2020,Police Department,Financing issues,All Sub-departments,All expense items,All staff,Group 5,3703202
Atlanta,GA,2020,Police Department,Intergovernmental Charges,All Sub-departments,All expense items,All staff,Group 5,8214819
Atlanta,GA,2020,Police Department,Operations,All Sub-departments,Other costs,All staff,Group 5,443014
Atlanta,GA,2020,Police Department,Personnel Services,All Sub-departments,Benefits,All staff,Group 5,28573757
Atlanta,GA,2020,Police Department,Personnel Services,All Sub-departments,Overtime,All staff,Group 5,14420514
Atlanta,GA,2020,Police Department,Personnel Services,All Sub-departments,Retirement/pension,All staff,Group 5,28572032
Atlanta,GA,2020,Police Department,Personnel Services,All Sub-departments,Salaries,Civilian staff,Group 5,21290811
