"citystate","year","department","expensecat","subdep","expensedescrip","personneltype","group","total"
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","Salaries/Wages","All Staff","Group 4",5471467
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","Subscriptions","All Staff","Group 4",177786
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","Transportation","All Staff","Group 4",5791
"Austin, Texas","2020","Police Department","Equipment","Strategic Support","Tuition Reimbursement","All Staff","Group 4",24060
"Austin, Texas","2020","Police Department","Equipment","Support Services","Armored Courier","All Staff","Group 4",4000
"Austin, Texas","2020","Police Department","Equipment","Support Services","Chemicals","All Staff","Group 4",125
"Austin, Texas","2020","Police Department","Equipment","Support Services","Field Equipment","All Staff","Group 4",70000
"Austin, Texas","2020","Police Department","Equipment","Support Services","Gasoline","All Staff","Group 4",103292
"Austin, Texas","2020","Police Department","Equipment","Support Services","Identification","All Staff","Group 4",25936
"Austin, Texas","2020","Police Department","Equipment","Support Services","IT Supplies","All Staff","Group 4",12170
"Austin, Texas","2020","Police Department","Equipment","Support Services","Maintenance","All Staff","Group 4",46743
"Austin, Texas","2020","Police Department","Equipment","Support Services","Materials","All Staff","Group 4",1500
"Austin, Texas","2020","Police Department","Equipment","Support Services","Medical supplies","All Staff","Group 4",500
"Austin, Texas","2020","Police Department","Equipment","Support Services","Memberships","All Staff","Group 4",300
"Austin, Texas","2020","Police Department","Equipment","Support Services","Phones","All Staff","Group 4",16380
"Austin, Texas","2020","Police Department","Equipment","Support Services","Retirement/pension","All Staff","Group 4",1261580
"Austin, Texas","2020","Police Department","Equipment","Support Services","Salaries/Wages","All Staff","Group 4",6651991
"Austin, Texas","2020","Police Department","Equipment","Support Services","Subscriptions","All Staff","Group 4",38350
"Austin, Texas","2020","Police Department","Equipment","Support Services","Transportation","All Staff","Group 4",56112
"Austin, Texas","2020","Police Department","Equipment","Support Services","Tuition Reimbursement","All Staff","Group 4",178400
"Austin, Texas","2020","Police Department","Equipment","Training","Explosives/blasting","All Staff","Group 4",645636
"Austin, Texas","2020","Police Department","Equipment","Training","Field Equipment","All Staff","Group 4",53487
"Austin, Texas","2020","Police Department","Equipment","Training","Identification","All Staff","Group 4",400
"Austin, Texas","2020","Police Department","Equipment","Training","IT Supplies","All Staff","Group 4",1198
"Austin, Texas","2020","Police Department","Equipment","Training","Maintenance","All Staff","Group 4",6500
"Austin, Texas","2020","Police Department","Equipment","Training","Medial Supplies","All Staff","Group 4",32850
"Austin, Texas","2020","Police Department","Equipment","Training","Medical supplies","All Staff","Group 4",14200
"Austin, Texas","2020","Police Department","Equipment","Training","Phones","All Staff","Group 4",1680
"Austin, Texas","2020","Police Department","Equipment","Training","Retirement/pension","All Staff","Group 4",155205
"Austin, Texas","2020","Police Department","Equipment","Training","Salaries/Wages","All Staff","Group 4",10385405
"Austin, Texas","2020","Police Department","Equipment","Training","Transportation","All Staff","Group 4",6802
"Austin, Texas","2020","Police Department","Equipment","Training","Tuition Reimbursement","All Staff","Group 4",97920
"Austin, Texas","2020","Police Department","Equipment","Transfers","Market Study Adjustment","All Staff","Group 4",832870
"Austin, Texas","2020","Police Department","Equipment","Victim Services","Phones","All Staff","Group 4",2940
"Austin, Texas","2020","Police Department","Equipment","Victim Services","Retirement/pension","All Staff","Group 4",380712
"Austin, Texas","2020","Police Department","Equipment","Victim Services","Salaries/Wages","All Staff","Group 4",2119553
"Austin, Texas","2020","Police Department","Equipment","Victim Services","Transportation","All Staff","Group 4",1646
"Austin, Texas","2020","Police Department","Interdepartmental Charges","Communications","Intradepartmental reimbursemnt","All Staff","Group 4",-448177
"Austin, Texas","2020","Police Department","Interdepartmental Charges","Investigations","All expense items","All Staff","Group 4",250
"Austin, Texas","2020","Police Department","Interdepartmental Charges","Patrol","Interdepartmental Charges","All Staff","Group 4",514405
"Austin, Texas","2020","Police Department","Interdepartmental Charges","Support Services","Interdepartmental Charges","All Staff","Group 4",85095
"Austin, Texas","2020","Police Department","Interdepartmental Charges","Support Services","Intradepartmental reimbursemnt","All Staff","Group 4",-34890
"Austin, Texas","2020","Police Department","Interdepartmental Charges","Transfers","Interdepartmental Charges","All Staff","Group 4",5172134
"Austin, Texas","2020","Police Department","Maintenance & Equipment","All Sub-departments","All expense items","All Staff","Group 4",6559039
"Austin, Texas","2020","Police Department","Materials and Services","Air Operations","Shift differential-Civil Serv","All Staff","Group 4",32400
"Austin, Texas","2020","Police Department","Materials and Services","Community Partnerships","Food","All Staff","Group 4",346
"Austin, Texas","2020","Police Department","Materials and Services","Community Partnerships","Overtime - Civil Service","All Staff","Group 4",1550
"Austin, Texas","2020","Police Department","Materials and Services","Community Partnerships","Shift differential-Civil Serv","All Staff","Group 4",7200
"Austin, Texas","2020","Police Department","Materials and Services","Community Partnerships","Small tools/minor equipment","All Staff","Group 4",4000
"Austin, Texas","2020","Police Department","Materials and Services","Forensic Services","Food","All Staff","Group 4",2751
"Austin, Texas","2020","Police Department","Materials and Services","Forensic Services","Overtime","All Staff","Group 4",555000
"Austin, Texas","2020","Police Department","Materials and Services","Internal Affairs","Memberships","All Staff","Group 4",50
"Austin, Texas","2020","Police Department","Materials and Services","Internal Affairs","Overtime","All Staff","Group 4",24600
"Austin, Texas","2020","Police Department","Materials and Services","Investigations","Medical Services","All Staff","Group 4",216417
"Austin, Texas","2020","Police Department","Materials and Services","Investigations","Medical supplies","All Staff","Group 4",900
"Austin, Texas","2020","Police Department","Materials and Services","Investigations","Technical services","All Staff","Group 4",105569
"Austin, Texas","2020","Police Department","Materials and Services","Patrol","Food","All Staff","Group 4",250
"Austin, Texas","2020","Police Department","Materials and Services","Patrol","Shift differential-Civil Serv","All Staff","Group 4",2178000
"Austin, Texas","2020","Police Department","Materials and Services","Patrol","Small tools/minor equipment","All Staff","Group 4",855510
"Austin, Texas","2020","Police Department","Materials and Services","Patrol Support","Food","All Staff","Group 4",3000
"Austin, Texas","2020","Police Department","Materials and Services","Patrol Support","Shift differential-Civil Serv","All Staff","Group 4",252000
"Austin, Texas","2020","Police Department","Materials and Services","Patrol Support","Small tools/minor equipment","All Staff","Group 4",16350
"Austin, Texas","2020","Police Department","Materials and Services","Recruiting","Food","All Staff","Group 4",450
"Austin, Texas","2020","Police Department","Materials and Services","Recruiting","Memberships","All Staff","Group 4",1000
"Austin, Texas","2020","Police Department","Materials and Services","Recruiting","Overtime","All Staff","Group 4",31000
"Austin, Texas","2020","Police Department","Materials and Services","Specialized Patrol","Building material","All Staff","Group 4",173
"Austin, Texas","2020","Police Department","Materials and Services","Specialized Patrol","Food","All Staff","Group 4",17670
"Austin, Texas","2020","Police Department","Materials and Services","Specialized Patrol","Household/cleaning supplies","All Staff","Group 4",900
"Austin, Texas","2020","Police Department","Materials and Services","Specialized Patrol","Shift differential-Civil Serv","All Staff","Group 4",252000
"Austin, Texas","2020","Police Department","Materials and Services","Specialized Patrol","Small tools/minor equipment","All Staff","Group 4",109989
"Austin, Texas","2020","Police Department","Materials and Services","Strategic Support","Food","All Staff","Group 4",25
"Austin, Texas","2020","Police Department","Materials and Services","Strategic Support","Overtime","All Staff","Group 4",6500
"Austin, Texas","2020","Police Department","Materials and Services","Strategic Support","Personnel savings","All Staff","Group 4",-63196
"Austin, Texas","2020","Police Department","Materials and Services","Support Services","Food","All Staff","Group 4",20950
"Austin, Texas","2020","Police Department","Materials and Services","Support Services","Overtime","All Staff","Group 4",76000
"Austin, Texas","2020","Police Department","Materials and Services","Training","Food","All Staff","Group 4",865
"Austin, Texas","2020","Police Department","Materials and Services","Training","Overtime","All Staff","Group 4",127000
"Austin, Texas","2020","Police Department","Materials and Services","Victim Services","Food","All Staff","Group 4",150
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Air Operations","General Liability Insurance","All Staff","Group 4",116617
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Air Operations","Police supplies","All Staff","Group 4",1500
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Air Operations","Small tools/minor equipment","All Staff","Group 4",2000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Air Operations","Telephone-base cost","All Staff","Group 4",2900
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Air Operations","Temporary employees","All Staff","Group 4",45982
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Communications","IT Maintenance","All Staff","Group 4",4703
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Communications","Office supplies","All Staff","Group 4",2454
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Communications","Overtime","All Staff","Group 4",835612
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Communications","Personnel savings","All Staff","Group 4",-2184679
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Communications","Small tools/minor equipment","All Staff","Group 4",9323
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Communications","Tuition Reimbursement","All Staff","Group 4",2640
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Community Partnerships","Insurance","All Staff","Group 4",17503
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Community Partnerships","Printing/binding/photo/repr","All Staff","Group 4",4000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Community Partnerships","Recruitment","All Staff","Group 4",19000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Community Partnerships","Regular wages - Civil Services","All Staff","Group 4",552685
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Community Partnerships","Rental-real estate-office","All Staff","Group 4",449809
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Community Partnerships","Temporary employees","All Staff","Group 4",10000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Community Partnerships","Travel","All Staff","Group 4",5500
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Expense refunds","All Staff","Group 4",-167444
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Facility","All Staff","Group 4",432139
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Hazardous Waste Disposal","All Staff","Group 4",24566
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Insurance","All Staff","Group 4",100
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","IT Maintenance","All Staff","Group 4",194849
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Maintenance","All Staff","Group 4",314649
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Office supplies","All Staff","Group 4",7900
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Other","All Staff","Group 4",2718820
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Overtime","All Staff","Group 4",80617
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Personnel savings","All Staff","Group 4",-536290
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Printing","All Staff","Group 4",330
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Salaries/Wages","All Staff","Group 4",84080
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Small tools/minor equipment","All Staff","Group 4",72988
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Subscriptions","All Staff","Group 4",3000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Tuition Reimbursement","All Staff","Group 4",114840
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Forensic Services","Uniform","All Staff","Group 4",38820
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Homelessness","Regular wages - Civil Services","All Staff","Group 4",196294
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Internal Affairs","Insurance","All Staff","Group 4",71
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Internal Affairs","IT Maintenance","All Staff","Group 4",18102
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Internal Affairs","Office supplies","All Staff","Group 4",300
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Internal Affairs","Overtime","All Staff","Group 4",1590
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Internal Affairs","Phones","All Staff","Group 4",3780
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Internal Affairs","Printing","All Staff","Group 4",385
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Internal Affairs","Tuition Reimbursement","All Staff","Group 4",58640
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Investigations","Electric services","All Staff","Group 4",1300
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Investigations","Insurance","All Staff","Group 4",242
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Investigations","Memberships","All Staff","Group 4",6005
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Investigations","Rental Real Estate Office","All Staff","Group 4",1826517
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Investigations","Subscriptions","All Staff","Group 4",100
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Facility","All Staff","Group 4",10000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Insurance","All Staff","Group 4",71
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Printing","All Staff","Group 4",312
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Professional registration","All Staff","Group 4",71
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Regular wages - Civil Services","All Staff","Group 4",85647496
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Telephone-base cost","All Staff","Group 4",8700
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Telephone-cellular phones","All Staff","Group 4",1237795
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Terminal pay","All Staff","Group 4",4564744
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Travel","All Staff","Group 4",3000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol","Wireless Communications-maint","All Staff","Group 4",2353934
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol Support","Grants to others/subrecipients","All Staff","Group 4",229086
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol Support","Overtime - Civil Service","All Staff","Group 4",293000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol Support","Regular wages - Civil Services","All Staff","Group 4",18609797
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol Support","Stability pay","All Staff","Group 4",9000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Patrol Support","Travel","All Staff","Group 4",7597
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Recruiting","IT Maintenance","All Staff","Group 4",30464
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Recruiting","Maintenance","All Staff","Group 4",1500
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Recruiting","Office supplies","All Staff","Group 4",700
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Recruiting","Printing","All Staff","Group 4",9000
"Austin, Texas","2020","Police Department","Non-Equipment Expense","Recruiting","Recruitment","All Staff","Group 4",50000
