"","city","stateAbb","year","department","expensecat","subdep","expensedescrip","personneltype","group","total"
"74","Arlington","TX","2020","Police Department","Equipment","Crime Victim Services","Office Supplies","All staff","Group 4",500
"75","Arlington","TX","2020","Police Department","Equipment","Crime Victim Services","Other","All staff","Group 4",166
"76","Arlington","TX","2020","Police Department","Equipment","Crime Victim Services","Uniforms","All staff","Group 4",1000
"77","Arlington","TX","2020","Police Department","Equipment","East Division Ops","Office Supplies","All staff","Group 4",4629
"78","Arlington","TX","2020","Police Department","Equipment","East Division Ops","Other","All staff","Group 4",2341
"79","Arlington","TX","2020","Police Department","Equipment","East Division Ops","Other Supplies","All staff","Group 4",1254
"80","Arlington","TX","2020","Police Department","Equipment","East Division Ops","Traffic Control Supplies","All staff","Group 4",3977
"81","Arlington","TX","2020","Police Department","Equipment","Fiscal Services","Office Supplies","All staff","Group 4",2500
"82","Arlington","TX","2020","Police Department","Equipment","Fiscal Services","Other","All staff","Group 4",2000
"83","Arlington","TX","2020","Police Department","Equipment","Fiscal Services","Other Supplies","All staff","Group 4",930
"84","Arlington","TX","2020","Police Department","Equipment","Fiscal Services","Uniforms","All staff","Group 4",3223
"85","Arlington","TX","2020","Police Department","Equipment","Human Resources","Office Supplies","All staff","Group 4",5785
"86","Arlington","TX","2020","Police Department","Equipment","Human Resources","Other","All staff","Group 4",284416.53
"87","Arlington","TX","2020","Police Department","Equipment","Human Resources","Other Supplies","All staff","Group 4",244168
"88","Arlington","TX","2020","Police Department","Equipment","Human Resources","Uniforms","All staff","Group 4",3741
"89","Arlington","TX","2020","Police Department","Equipment","Investigations","Office Supplies","All staff","Group 4",2311
"90","Arlington","TX","2020","Police Department","Equipment","Investigations","Other","All staff","Group 4",687
"91","Arlington","TX","2020","Police Department","Equipment","Investigations","Other Supplies","All staff","Group 4",2385
"92","Arlington","TX","2020","Police Department","Equipment","Investigations","Uniforms","All staff","Group 4",4542
"93","Arlington","TX","2020","Police Department","Equipment","Jail","Office Supplies","All staff","Group 4",9839
"94","Arlington","TX","2020","Police Department","Equipment","Jail","Other Supplies","All staff","Group 4",9000
"95","Arlington","TX","2020","Police Department","Equipment","North Division Operations","Office Supplies","All staff","Group 4",4004
"96","Arlington","TX","2020","Police Department","Equipment","North Division Operations","Other","All staff","Group 4",5340
"97","Arlington","TX","2020","Police Department","Equipment","North Division Operations","Other Supplies","All staff","Group 4",3759
"98","Arlington","TX","2020","Police Department","Equipment","North Division Operations","Traffic Control Supplies","All staff","Group 4",5267
"99","Arlington","TX","2020","Police Department","Equipment","Quartermaster","Minor Tools","All staff","Group 4",520
"100","Arlington","TX","2020","Police Department","Equipment","Quartermaster","Other","All staff","Group 4",277046.8
"101","Arlington","TX","2020","Police Department","Equipment","Quartermaster","Other Supplies","All staff","Group 4",69751.8
"102","Arlington","TX","2020","Police Department","Equipment","Quartermaster","Uniforms","All staff","Group 4",376754.24
"103","Arlington","TX","2020","Police Department","Equipment","Records","Office Supplies","All staff","Group 4",4733
"104","Arlington","TX","2020","Police Department","Equipment","Records","Other","All staff","Group 4",2000
"105","Arlington","TX","2020","Police Department","Equipment","Records","Other Supplies","All staff","Group 4",7500
"106","Arlington","TX","2020","Police Department","Equipment","Research & Development","Office Supplies","All staff","Group 4",1500
"107","Arlington","TX","2020","Police Department","Equipment","Research & Development","Other","All staff","Group 4",2000
"108","Arlington","TX","2020","Police Department","Equipment","Research & Development","Other Supplies","All staff","Group 4",930
"109","Arlington","TX","2020","Police Department","Equipment","South Division Ops","Office Supplies","All staff","Group 4",4628
"110","Arlington","TX","2020","Police Department","Equipment","South Division Ops","Other","All staff","Group 4",2341
"111","Arlington","TX","2020","Police Department","Equipment","South Division Ops","Other Supplies","All staff","Group 4",3758
"112","Arlington","TX","2020","Police Department","Equipment","South Division Ops","Traffic Control Supplies","All staff","Group 4",3976
"113","Arlington","TX","2020","Police Department","Equipment","Special Events","Minor Tools","All staff","Group 4",100
"114","Arlington","TX","2020","Police Department","Equipment","Special Events","Office Supplies","All staff","Group 4",400
"115","Arlington","TX","2020","Police Department","Equipment","Special Events","Other","All staff","Group 4",3187
"116","Arlington","TX","2020","Police Department","Equipment","Special Events","Other Supplies","All staff","Group 4",1215
"117","Arlington","TX","2020","Police Department","Equipment","Special Events","Uniforms","All staff","Group 4",500
"118","Arlington","TX","2020","Police Department","Equipment","Special Investigations","Office Supplies","All staff","Group 4",2214
"119","Arlington","TX","2020","Police Department","Equipment","Special Investigations","Other","All staff","Group 4",500
"120","Arlington","TX","2020","Police Department","Equipment","Special Investigations","Other Supplies","All staff","Group 4",2303
"121","Arlington","TX","2020","Police Department","Equipment","Special Operations","Office Supplies","All staff","Group 4",1600
"122","Arlington","TX","2020","Police Department","Equipment","Special Operations","Other","All staff","Group 4",30015
"123","Arlington","TX","2020","Police Department","Equipment","Special Operations","Other Supplies","All staff","Group 4",6000
"124","Arlington","TX","2020","Police Department","Equipment","Special Operations","Uniforms","All staff","Group 4",11946
"125","Arlington","TX","2020","Police Department","Equipment","Technical Services","Office Supplies","All staff","Group 4",4500
"126","Arlington","TX","2020","Police Department","Equipment","Technical Services","Other Supplies","All staff","Group 4",21095
"127","Arlington","TX","2020","Police Department","Equipment","Technical Services","Uniforms","All staff","Group 4",3120
"128","Arlington","TX","2020","Police Department","Equipment","Traffic","Minor Tools","All staff","Group 4",100
"129","Arlington","TX","2020","Police Department","Equipment","Traffic","Office Supplies","All staff","Group 4",1201
"130","Arlington","TX","2020","Police Department","Equipment","Traffic","Other","All staff","Group 4",12000
"131","Arlington","TX","2020","Police Department","Equipment","Traffic","Other Supplies","All staff","Group 4",25100
"132","Arlington","TX","2020","Police Department","Equipment","Traffic","Uniforms","All staff","Group 4",10900
"133","Arlington","TX","2020","Police Department","Equipment","West Division Ops","Office Supplies","All staff","Group 4",4628
"134","Arlington","TX","2020","Police Department","Equipment","West Division Ops","Other","All staff","Group 4",2341
"135","Arlington","TX","2020","Police Department","Equipment","West Division Ops","Other Supplies","All staff","Group 4",3758
"136","Arlington","TX","2020","Police Department","Equipment","West Division Ops","Traffic Control Supplies","All staff","Group 4",3977
"137","Arlington","TX","2020","Police Department","Equipment","Youth Support","Office Supplies","All staff","Group 4",150
"138","Arlington","TX","2020","Police Department","Non-equipment Expense","Administration","Dues & Memberships","All staff","Group 4",7968
"139","Arlington","TX","2020","Police Department","Non-equipment Expense","Administration","Travel","All staff","Group 4",6627
"140","Arlington","TX","2020","Police Department","Non-equipment Expense","Community Relations","Education and Recreation","All staff","Group 4",600
"141","Arlington","TX","2020","Police Department","Non-equipment Expense","Crime Victim Services","Education and Recreation","All staff","Group 4",400
"142","Arlington","TX","2020","Police Department","Non-equipment Expense","Fiscal Services","Utilities","All staff","Group 4",339566
"143","Arlington","TX","2020","Police Department","Non-equipment Expense","Human Resources","Dues & Memberships","All staff","Group 4",1900
"144","Arlington","TX","2020","Police Department","Non-equipment Expense","Human Resources","Education and Recreation","All staff","Group 4",3121
"145","Arlington","TX","2020","Police Department","Non-equipment Expense","Human Resources","Travel","All staff","Group 4",158145
"146","Arlington","TX","2020","Police Department","Non-equipment Expense","Investigations","Dues & Memberships","All staff","Group 4",400
"147","Arlington","TX","2020","Police Department","Non-equipment Expense","Investigations","Travel","All staff","Group 4",1432
"148","Arlington","TX","2020","Police Department","Non-equipment Expense","North Division Operations","Dues & Memberships","All staff","Group 4",715
"149","Arlington","TX","2020","Police Department","Non-equipment Expense","Special Events","Travel","All staff","Group 4",3141
"150","Arlington","TX","2020","Police Department","Non-equipment Expense","Special Investigations","Travel","All staff","Group 4",6431
"151","Arlington","TX","2020","Police Department","Non-equipment Expense","Special Operations","Dues & Memberships","All staff","Group 4",300
"152","Arlington","TX","2020","Police Department","Non-equipment Expense","Special Operations","Travel","All staff","Group 4",9440
"153","Arlington","TX","2020","Police Department","Non-equipment Expense","Traffic","Dues & Memberships","All staff","Group 4",1020
"154","Arlington","TX","2020","Police Department","Non-equipment Expense","Traffic","Travel","All staff","Group 4",10000
"155","Arlington","TX","2020","Police Department","Operations","Administration","Dispatch Service Charges","All staff","Group 4",6178348
"156","Arlington","TX","2020","Police Department","Operations","Administration","Fleet Rentals","All staff","Group 4",24056
"157","Arlington","TX","2020","Police Department","Operations","Administration","Food","All staff","Group 4",1510
"158","Arlington","TX","2020","Police Department","Operations","Administration","Gasoline/Lubricants","All staff","Group 4",168448
"159","Arlington","TX","2020","Police Department","Operations","Body Worn Camera Operations","Rentals","All staff","Group 4",525000
"160","Arlington","TX","2020","Police Department","Operations","Community Relations","Fleet Rentals","All staff","Group 4",19512
"161","Arlington","TX","2020","Police Department","Operations","Community Relations","Food","All staff","Group 4",647
"162","Arlington","TX","2020","Police Department","Operations","Community Relations","Gasoline/Lubricants","All staff","Group 4",1874
"163","Arlington","TX","2020","Police Department","Operations","Covert","Gasoline/Lubricants","All staff","Group 4",29496
"164","Arlington","TX","2020","Police Department","Operations","Covert","Phones","All staff","Group 4",21720
"165","Arlington","TX","2020","Police Department","Operations","Covert","Rentals","All staff","Group 4",136911
"166","Arlington","TX","2020","Police Department","Operations","Crime Victim Services","Fleet Rentals","All staff","Group 4",6148
"167","Arlington","TX","2020","Police Department","Operations","Crime Victim Services","Gasoline/Lubricants","All staff","Group 4",1394
"168","Arlington","TX","2020","Police Department","Operations","East Division Ops","Facility ","All staff","Group 4",694
"169","Arlington","TX","2020","Police Department","Operations","East Division Ops","Fleet Rentals","All staff","Group 4",277711
"170","Arlington","TX","2020","Police Department","Operations","East Division Ops","Food","All staff","Group 4",390
"171","Arlington","TX","2020","Police Department","Operations","East Division Ops","Gasoline/Lubricants","All staff","Group 4",45470
"172","Arlington","TX","2020","Police Department","Operations","Fiscal Services","Facility ","All staff","Group 4",3081
"173","Arlington","TX","2020","Police Department","Operations","Fiscal Services","Fleet Rentals","All staff","Group 4",50785
"174","Arlington","TX","2020","Police Department","Operations","Fiscal Services","Gasoline/Lubricants","All staff","Group 4",18677
"175","Arlington","TX","2020","Police Department","Operations","Fiscal Services","Phones","All staff","Group 4",153278
"176","Arlington","TX","2020","Police Department","Operations","Human Resources","Advertising","All staff","Group 4",3000
"177","Arlington","TX","2020","Police Department","Operations","Human Resources","Facility ","All staff","Group 4",520
"178","Arlington","TX","2020","Police Department","Operations","Human Resources","Fleet Rentals","All staff","Group 4",5346
"179","Arlington","TX","2020","Police Department","Operations","Human Resources","Gasoline/Lubricants","All staff","Group 4",348
"180","Arlington","TX","2020","Police Department","Operations","Investigations","Fleet Rentals","All staff","Group 4",43835
"181","Arlington","TX","2020","Police Department","Operations","Investigations","Gasoline/Lubricants","All staff","Group 4",8263
"182","Arlington","TX","2020","Police Department","Operations","Jail","Facility ","All staff","Group 4",50000
"183","Arlington","TX","2020","Police Department","Operations","Jail","Fleet Rentals","All staff","Group 4",36351
"184","Arlington","TX","2020","Police Department","Operations","Jail","Gasoline/Lubricants","All staff","Group 4",9154
"185","Arlington","TX","2020","Police Department","Operations","Jail","Support Of Prisoners","All staff","Group 4",167606
"186","Arlington","TX","2020","Police Department","Operations","North Division Operations","Fleet Rentals","All staff","Group 4",279850
"187","Arlington","TX","2020","Police Department","Operations","North Division Operations","Food","All staff","Group 4",100
"188","Arlington","TX","2020","Police Department","Operations","North Division Operations","Gasoline/Lubricants","All staff","Group 4",141519
"189","Arlington","TX","2020","Police Department","Operations","Quartermaster","Fleet Rentals","All staff","Group 4",2673
"190","Arlington","TX","2020","Police Department","Operations","Quartermaster","Gasoline/Lubricants","All staff","Group 4",479
"191","Arlington","TX","2020","Police Department","Operations","Research & Development","Rentals","All staff","Group 4",293000
"192","Arlington","TX","2020","Police Department","Operations","South Division Ops","Facility ","All staff","Group 4",693
"193","Arlington","TX","2020","Police Department","Operations","South Division Ops","Fleet Rentals","All staff","Group 4",268356
"194","Arlington","TX","2020","Police Department","Operations","South Division Ops","Food","All staff","Group 4",390
"195","Arlington","TX","2020","Police Department","Operations","South Division Ops","Gasoline/Lubricants","All staff","Group 4",137425
"196","Arlington","TX","2020","Police Department","Operations","Special Events","Fleet Rentals","All staff","Group 4",21918
"197","Arlington","TX","2020","Police Department","Operations","Special Events","Food","All staff","Group 4",3500
"198","Arlington","TX","2020","Police Department","Operations","Special Events","Gasoline/Lubricants","All staff","Group 4",1251
"199","Arlington","TX","2020","Police Department","Operations","Special Investigations","Fleet Rentals","All staff","Group 4",2673
"200","Arlington","TX","2020","Police Department","Operations","Special Investigations","Gasoline/Lubricants","All staff","Group 4",654
"201","Arlington","TX","2020","Police Department","Operations","Special Operations","Fleet Rentals","All staff","Group 4",171866
"202","Arlington","TX","2020","Police Department","Operations","Special Operations","Gasoline/Lubricants","All staff","Group 4",30111
"203","Arlington","TX","2020","Police Department","Operations","Technical Services","Fleet Rentals","All staff","Group 4",16839
"204","Arlington","TX","2020","Police Department","Operations","Technical Services","Gasoline/Lubricants","All staff","Group 4",2400
"205","Arlington","TX","2020","Police Department","Operations","Traffic","Fleet Rentals","All staff","Group 4",112261
"206","Arlington","TX","2020","Police Department","Operations","Traffic","Food","All staff","Group 4",1000
"207","Arlington","TX","2020","Police Department","Operations","Traffic","Gasoline/Lubricants","All staff","Group 4",44685
"208","Arlington","TX","2020","Police Department","Operations","Traffic","Rentals","All staff","Group 4",130939
"209","Arlington","TX","2020","Police Department","Operations","West Division Ops","Facility ","All staff","Group 4",693
"210","Arlington","TX","2020","Police Department","Operations","West Division Ops","Fleet Rentals","All staff","Group 4",284126
"211","Arlington","TX","2020","Police Department","Operations","West Division Ops","Food","All staff","Group 4",390
"212","Arlington","TX","2020","Police Department","Operations","West Division Ops","Gasoline/Lubricants","All staff","Group 4",69468
"213","Arlington","TX","2020","Police Department","Operations","Youth Support","Fleet Rentals","All staff","Group 4",2673
"214","Arlington","TX","2020","Police Department","Operations","Youth Support","Gasoline/Lubricants","All staff","Group 4",522
"215","Arlington","TX","2020","Police Department","Personnel Services","Administration","Benefits","All staff","Group 4",607919.68
"216","Arlington","TX","2020","Police Department","Personnel Services","Administration","Salaries","All staff","Group 4",1739105.16
"217","Arlington","TX","2020","Police Department","Personnel Services","Body Worn Camera Operations","Benefits","All staff","Group 4",53992
"218","Arlington","TX","2020","Police Department","Personnel Services","Body Worn Camera Operations","Salaries","All staff","Group 4",133029.47
"219","Arlington","TX","2020","Police Department","Personnel Services","Community Relations","Benefits","All staff","Group 4",261637
"220","Arlington","TX","2020","Police Department","Personnel Services","Community Relations","Overtime","All staff","Group 4",2000
"221","Arlington","TX","2020","Police Department","Personnel Services","Community Relations","Salaries","All staff","Group 4",717571.08
"222","Arlington","TX","2020","Police Department","Personnel Services","Covert","Benefits","All staff","Group 4",660742.87
"223","Arlington","TX","2020","Police Department","Personnel Services","Covert","Overtime","All staff","Group 4",24075
"224","Arlington","TX","2020","Police Department","Personnel Services","Covert","Salaries","All staff","Group 4",1923027.2
"225","Arlington","TX","2020","Police Department","Personnel Services","Crime Victim Services","Benefits","All staff","Group 4",130339.23
"226","Arlington","TX","2020","Police Department","Personnel Services","Crime Victim Services","Salaries","All staff","Group 4",439600.77
"227","Arlington","TX","2020","Police Department","Personnel Services","East Division Ops","Benefits","All staff","Group 4",2949708.91
"228","Arlington","TX","2020","Police Department","Personnel Services","East Division Ops","Overtime","All staff","Group 4",149400
"229","Arlington","TX","2020","Police Department","Personnel Services","East Division Ops","Salaries","All staff","Group 4",8697542.11
"230","Arlington","TX","2020","Police Department","Personnel Services","Fiscal Services","Benefits","All staff","Group 4",237937.67
"231","Arlington","TX","2020","Police Department","Personnel Services","Fiscal Services","Overtime","All staff","Group 4",2500
"232","Arlington","TX","2020","Police Department","Personnel Services","Fiscal Services","Salaries","All staff","Group 4",570183.48
"233","Arlington","TX","2020","Police Department","Personnel Services","Fiscal Services","Wages","All staff","Group 4",16500
"234","Arlington","TX","2020","Police Department","Personnel Services","Human Resources","Benefits","All staff","Group 4",673628.42
"235","Arlington","TX","2020","Police Department","Personnel Services","Human Resources","Overtime","All staff","Group 4",4700
"236","Arlington","TX","2020","Police Department","Personnel Services","Human Resources","Salaries","All staff","Group 4",1916258.31
"237","Arlington","TX","2020","Police Department","Personnel Services","Human Resources","Wages","All staff","Group 4",61475
"238","Arlington","TX","2020","Police Department","Personnel Services","Investigations","Benefits","All staff","Group 4",1039536.53
"239","Arlington","TX","2020","Police Department","Personnel Services","Investigations","Overtime","All staff","Group 4",33705
"240","Arlington","TX","2020","Police Department","Personnel Services","Investigations","Salaries","All staff","Group 4",3038985.36
"241","Arlington","TX","2020","Police Department","Personnel Services","Investigations","Wages","All staff","Group 4",29324
"242","Arlington","TX","2020","Police Department","Personnel Services","Jail","Benefits","All staff","Group 4",1557080.94
"243","Arlington","TX","2020","Police Department","Personnel Services","Jail","Overtime","All staff","Group 4",59505
"244","Arlington","TX","2020","Police Department","Personnel Services","Jail","Salaries","All staff","Group 4",3747704.56
"245","Arlington","TX","2020","Police Department","Personnel Services","Jail","Wages","All staff","Group 4",99298
"246","Arlington","TX","2020","Police Department","Personnel Services","North Division Operations","Benefits","All staff","Group 4",3633013.41
"247","Arlington","TX","2020","Police Department","Personnel Services","North Division Operations","Overtime","All staff","Group 4",149400
"248","Arlington","TX","2020","Police Department","Personnel Services","North Division Operations","Salaries","All staff","Group 4",10738379.05
"249","Arlington","TX","2020","Police Department","Personnel Services","North Division Operations","Wages","All staff","Group 4",370699
"250","Arlington","TX","2020","Police Department","Personnel Services","Quartermaster","Benefits","All staff","Group 4",13804
"251","Arlington","TX","2020","Police Department","Personnel Services","Quartermaster","Overtime","All staff","Group 4",75000
"252","Arlington","TX","2020","Police Department","Personnel Services","Quartermaster","Salaries","All staff","Group 4",718603
"253","Arlington","TX","2020","Police Department","Personnel Services","Records","Benefits","All staff","Group 4",657312.59
"254","Arlington","TX","2020","Police Department","Personnel Services","Records","Overtime","All staff","Group 4",38541
"255","Arlington","TX","2020","Police Department","Personnel Services","Records","Salaries","All staff","Group 4",1425876.9
"256","Arlington","TX","2020","Police Department","Personnel Services","Records","Wages","All staff","Group 4",149823
"257","Arlington","TX","2020","Police Department","Personnel Services","Research & Development","Benefits","All staff","Group 4",181419.1
"258","Arlington","TX","2020","Police Department","Personnel Services","Research & Development","Salaries","All staff","Group 4",584448.9
"259","Arlington","TX","2020","Police Department","Personnel Services","South Division Ops","Benefits","All staff","Group 4",3257598.31
"260","Arlington","TX","2020","Police Department","Personnel Services","South Division Ops","Overtime","All staff","Group 4",149400
"261","Arlington","TX","2020","Police Department","Personnel Services","South Division Ops","Salaries","All staff","Group 4",9674050.26
"262","Arlington","TX","2020","Police Department","Personnel Services","Special Events","Benefits","All staff","Group 4",211708.85
"263","Arlington","TX","2020","Police Department","Personnel Services","Special Events","Overtime","All staff","Group 4",3000
"264","Arlington","TX","2020","Police Department","Personnel Services","Special Events","Salaries","All staff","Group 4",581672.36
"265","Arlington","TX","2020","Police Department","Personnel Services","Special Events","Wages","All staff","Group 4",35400
"266","Arlington","TX","2020","Police Department","Personnel Services","Special Investigations","Benefits","All staff","Group 4",1265610.1
"267","Arlington","TX","2020","Police Department","Personnel Services","Special Investigations","Overtime","All staff","Group 4",38520
"268","Arlington","TX","2020","Police Department","Personnel Services","Special Investigations","Salaries","All staff","Group 4",3568542.01
"269","Arlington","TX","2020","Police Department","Personnel Services","Special Investigations","Wages","All staff","Group 4",38325
"270","Arlington","TX","2020","Police Department","Personnel Services","Special Operations","Benefits","All staff","Group 4",637943.74
"271","Arlington","TX","2020","Police Department","Personnel Services","Special Operations","Overtime","All staff","Group 4",43233
"272","Arlington","TX","2020","Police Department","Personnel Services","Special Operations","Salaries","All staff","Group 4",1843947.64
"273","Arlington","TX","2020","Police Department","Personnel Services","Technical Services","Benefits","All staff","Group 4",844330.61
"274","Arlington","TX","2020","Police Department","Personnel Services","Technical Services","Overtime","All staff","Group 4",31500
"275","Arlington","TX","2020","Police Department","Personnel Services","Technical Services","Salaries","All staff","Group 4",2355948.52
"276","Arlington","TX","2020","Police Department","Personnel Services","Traffic","Benefits","All staff","Group 4",1652653.98
"277","Arlington","TX","2020","Police Department","Personnel Services","Traffic","Overtime","All staff","Group 4",50000
"278","Arlington","TX","2020","Police Department","Personnel Services","Traffic","Salaries","All staff","Group 4",4686362.29
